,energy_in,energy_out,soc,charge_bool,discharge_bool,profit_timeseries,cumulative_profit,cumlative_cycle_rate,cumlative_profit
131,0.0,0.0,20.0,0.0,1.0,0.0,2772.13558849404,19.3,2772.1355884940403
132,0.0,10.0,10.0,0.0,1.0,554.3538,3326.48938849404,19.8,3326.48938849404
133,0.0,6.0,4.0,0.0,1.0,306.19602,3632.68540849404,20.1,3632.68540849404
134,0.0,0.0,4.0,0.0,1.0,0.0,3632.68540849404,20.1,3632.68540849404
135,0.0,0.0,4.0,0.0,1.0,0.0,3632.68540849404,20.1,3632.68540849404
136,10.0,0.0,14.0,1.0,0.0,-477.139761646804,3155.54564684724,20.6,3155.545646847236
137,6.0,0.0,20.0,1.0,0.0,-286.478873239437,2869.0667736078,20.9,2869.0667736077994
138,0.0,0.0,20.0,0.0,1.0,0.0,2869.0667736078,20.9,2869.0667736077994
139,0.0,10.0,10.0,0.0,1.0,720.7707,3589.8374736078,21.4,3589.8374736077994
140,0.0,6.0,4.0,0.0,1.0,377.52546,3967.3629336078,21.7,3967.3629336077993
141,0.0,0.0,4.0,0.0,1.0,0.0,3967.3629336078,21.7,3967.3629336077993
142,0.0,0.0,4.0,0.0,1.0,0.0,3967.3629336078,21.7,3967.3629336077993
143,0.0,0.0,4.0,0.0,1.0,0.0,3967.3629336078,21.7,3967.3629336077993
144,0.0,0.0,4.0,0.0,1.0,0.0,3967.3629336078,21.7,3967.3629336077993
145,0.0,0.0,4.0,0.0,1.0,0.0,3967.3629336078,21.7,3967.3629336077993
146,0.0,0.0,4.0,0.0,1.0,0.0,3967.3629336078,21.7,3967.3629336077993
147,0.0,0.0,4.0,0.0,1.0,0.0,3967.3629336078,21.7,3967.3629336077993
148,0.0,0.0,4.0,0.0,1.0,0.0,3967.3629336078,21.7,3967.3629336077993
149,0.0,0.0,4.0,0.0,1.0,0.0,3967.3629336078,21.7,3967.3629336077993
150,6.0,0.0,10.0,1.0,0.0,-268.537378114843,3698.82555549296,22.0,3698.8255554929565
151,10.0,0.0,20.0,1.0,0.0,-444.962080173348,3253.86347531961,22.5,3253.8634753196084
152,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
153,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
154,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
155,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
156,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
157,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
158,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
159,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
160,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
161,0.0,0.0,20.0,1.0,0.0,0.0,3253.86347531961,22.5,3253.8634753196084
162,0.0,0.0,20.0,0.0,1.0,0.0,3253.86347531961,22.5,3253.8634753196084
163,0.0,10.0,10.0,0.0,1.0,846.0218,4099.88527531961,23.0,4099.885275319608
164,0.0,6.0,4.0,0.0,1.0,370.04916,4469.93443531961,23.3,4469.9344353196075
165,0.0,0.0,4.0,0.0,1.0,0.0,4469.93443531961,23.3,4469.9344353196075
166,0.0,0.0,4.0,0.0,1.0,0.0,4469.93443531961,23.3,4469.9344353196075
167,0.0,0.0,4.0,0.0,1.0,0.0,4469.93443531961,23.3,4469.9344353196075
0,5.88275802693381,0.0,9.88275802693381,1.0,0.0,-267.177916022823,-267.177916022823,23.5941379013467,4202.756519296784
1,0.0,0.0,9.88275802693381,0.0,1.0,0.0,-267.177916022823,23.5941379013467,4202.756519296784
2,0.0,0.0,9.88275802693381,0.0,1.0,0.0,-267.177916022823,23.5941379013467,4202.756519296784
3,0.0,0.0,9.88275802693381,0.0,1.0,0.0,-267.177916022823,23.5941379013467,4202.756519296784
4,0.0,0.0,9.88275802693381,0.0,1.0,0.0,-267.177916022823,23.5941379013467,4202.756519296784
5,0.0,0.0,9.88275802693381,0.0,1.0,0.0,-267.177916022823,23.5941379013467,4202.756519296784
6,10.0,0.0,19.8827580269338,1.0,0.0,-448.75406283857,-715.931978861393,24.0941379013467,3754.002456458214
7,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
